날짜,측정소명,이산화질소농도,오존농도,일산화탄소농도,아황산가스,미세먼지,초미세먼지
2019-06-30,강남구,0.01,0.033,0.3,0.005,31,23
2019-06-30,강남대로,0.029,0.028,0.3,0.004,32,26
2019-06-30,강동구,0.018,0.027,0.4,0.003,30,25
2019-06-30,강변북로,0.033,0.024,0.2,0.004,33,25
2019-06-30,강북구,0.011,0.035,0.4,0.002,38,25
2019-06-30,강서구,0.012,0.04,0.3,0.004,33,26
2019-06-30,공항대로,0.02,0.029,0.4,0.005,,
2019-06-30,관악구,0.012,0.043,0.2,0.004,34,25
2019-06-30,관악산,0.008,0.031,0.4,0.003,33,25
2019-06-30,광진구,0.015,0.029,0.6,0.004,33,30
2019-06-30,구로구,0.009,0.044,0.3,0.004,25,24
2019-06-30,궁동,0.02,0.025,0.4,0.005,28,23
2019-06-30,금천구,0.015,0.029,0.4,0.003,29,22
2019-06-30,남산,0.001,0.042,0.6,0.004,37,27
2019-06-30,노원구,0.015,0.032,0.4,0.004,32,25
2019-06-30,도봉구,0.008,0.042,0.4,0.003,32,21
2019-06-30,도산대로,0.013,0.03,0.7,0.004,32,23
2019-06-30,동대문구,0.012,0.037,0.3,0.004,29,24
2019-06-30,동작구,0.011,0.035,0.3,0.003,35,26
2019-06-30,동작대로,0.029,0.029,0.4,0.009,36,23
2019-06-30,마포구,0.01,0.039,0.4,0.004,34,27
2019-06-30,마포아트센터,0.01,0.045,0.3,0.003,,
2019-06-30,북한산,0.005,0.031,0.7,0.003,26,21
2019-06-30,서대문구,0.009,0.04,0.6,0.003,31,25
2019-06-30,서울숲,0.011,0.034,0.2,0.004,,
2019-06-30,서초구,0.011,0.038,0.3,0.004,29,27
2019-06-30,성동구,0.015,0.044,0.4,0.003,40,32
2019-06-30,성북구,0.017,0.034,0.7,0.003,20,18
2019-06-30,세곡,0.019,0.025,0.6,0.003,31,23
2019-06-30,송파구,0.015,0.038,0.4,0.003,32,21
2019-06-30,시흥대로,0.02,0.04,0.4,0.003,29,20
2019-06-30,신촌로,0.036,0.028,0.6,0.003,40,28
2019-06-30,양천구,0.012,0.033,0.4,0.004,37,26
2019-06-30,영등포구,0.018,0.035,0.4,0.002,37,30
2019-06-30,영등포로,0.035,0.027,0.5,0.004,40,29
2019-06-30,올림픽공원,,,,,,
2019-06-30,용산구,0.016,0.039,0.4,0.003,28,25
2019-06-30,은평구,0.014,0.039,0.2,0.004,33,26
2019-06-30,자연사박물관,,0.006,0.2,,,
2019-06-30,정릉로,0.138,0.024,0.4,0.004,33,26
2019-06-30,종로,0.02,0.036,0.4,0.003,28,20
2019-06-30,종로구,0.014,0.034,0.4,0.003,31,22
2019-06-30,중구,0.018,0.041,0.4,0.003,30,23
2019-06-30,중랑구,0.014,0.033,0.4,0.006,30,27
2019-06-30,천호대로,0.027,0.031,0.4,0.003,37,22
2019-06-30,청계천로,0.019,0.042,0.4,0.004,33,26
2019-06-30,한강대로,0.026,0.022,0.6,0.004,43,29
2019-06-30,행주,0.01,0.041,0.6,0.003,35,21
2019-06-30,홍릉로,0.017,0.03,0.6,0.003,,
2019-06-30,화랑로,0.027,0.031,0.3,0.005,34,26
2019-06-29,강남구,0.016,0.024,0.3,0.005,22,15
2019-06-29,강남대로,0.052,0.018,0.4,0.004,26,16
2019-06-29,강동구,0.015,0.027,0.3,0.003,22,16
2019-06-29,강변북로,0.038,0.018,0.2,0.004,24,18
2019-06-29,강북구,0.013,0.029,0.4,0.002,27,18
2019-06-29,강서구,0.022,0.033,0.4,0.004,26,21
2019-06-29,공항대로,0.036,0.022,0.4,0.005,,
2019-06-29,관악구,0.021,0.034,0.3,0.004,30,23
2019-06-29,관악산,0.008,0.023,0.4,0.002,26,20
2019-06-29,광진구,0.017,0.025,0.5,0.003,21,21
2019-06-29,구로구,0.018,0.035,0.3,0.004,25,22
2019-06-29,궁동,0.032,0.019,0.4,0.005,23,19
2019-06-29,금천구,0.018,0.026,0.4,0.003,24,18
2019-06-29,남산,0.003,0.034,0.6,0.004,27,20
2019-06-29,노원구,0.017,0.027,0.4,0.004,24,19
2019-06-29,도봉구,0.01,0.032,0.4,0.003,22,16
2019-06-29,도산대로,0.018,0.024,0.8,0.004,26,17
2019-06-29,동대문구,0.019,0.028,0.3,0.004,19,17
2019-06-29,동작구,0.019,0.028,0.3,0.003,28,20
2019-06-29,동작대로,0.04,0.02,0.5,0.008,34,20
2019-06-29,마포구,0.016,0.035,0.4,0.004,29,25
2019-06-29,마포아트센터,0.017,0.039,0.2,0.003,,
2019-06-29,북한산,0.007,0.024,0.7,0.003,22,19
2019-06-29,서대문구,0.014,0.032,0.6,0.003,25,23
2019-06-29,서울숲,0.015,0.026,0.1,0.004,,
2019-06-29,서초구,0.02,0.028,0.3,0.004,27,23
2019-06-29,성동구,0.019,0.036,0.3,0.003,30,23
2019-06-29,성북구,0.023,0.026,0.7,0.003,20,14
2019-06-29,세곡,0.02,0.024,0.6,0.003,21,15
2019-06-29,송파구,0.021,0.03,0.4,0.003,22,15
2019-06-29,시흥대로,0.05,0.015,0.7,0.003,31,18
2019-06-29,신촌로,0.033,0.027,0.5,0.003,28,20
2019-06-29,양천구,0.022,0.027,0.4,0.004,30,21
2019-06-29,영등포구,0.026,0.029,0.4,0.002,31,28
2019-06-29,영등포로,0.04,0.021,0.6,0.004,34,22
2019-06-29,올림픽공원,,,,,,
2019-06-29,용산구,0.02,0.031,0.4,0.003,19,18
2019-06-29,은평구,0.017,0.035,0.2,0.004,27,22
2019-06-29,자연사박물관,,0.011,0.2,,,
2019-06-29,정릉로,0.088,0.019,0.4,0.005,27,20
2019-06-29,종로,0.029,0.022,0.4,0.003,21,15
2019-06-29,종로구,0.021,0.026,0.4,0.003,22,15
2019-06-29,중구,0.029,0.028,0.4,0.003,22,16
2019-06-29,중랑구,0.014,0.028,0.3,0.006,18,18
2019-06-29,천호대로,0.032,0.026,0.4,0.003,29,16
2019-06-29,청계천로,0.03,0.026,0.5,0.004,25,19
2019-06-29,한강대로,0.033,0.018,0.5,0.004,35,21
2019-06-29,행주,0.021,0.032,0.7,0.003,30,17
2019-06-29,홍릉로,0.02,0.024,0.6,0.003,,
2019-06-29,화랑로,0.035,0.025,0.3,0.005,27,19
2019-06-28,강남구,0.022,0.026,0.5,0.005,34,26
2019-06-28,강남대로,0.053,0.024,0.5,0.004,38,30
