날짜,지점명,평균기온,최저기온,최대기온,평균습도,최저습도,최고습도,평균풍속,최대풍속,강수량
2019-06-30,광진,25.10000038,22.60000038,28.29999924,73.40000153,56,83.30000305,1.899999976,5,0
2019-06-30,강동,24.89999962,21.89999962,28.79999924,58.70000076,42.70000076,68.69999695,1.399999976,6.199999809,0
2019-06-30,동작,24.60000038,22.70000076,28.60000038,69.5,50.90000153,81.40000153,2.400000095,5.699999809,0
2019-06-30,은평,24,21.60000038,27.29999924,,,,1.799999952,6.900000095,0
2019-06-30,중구,23.79999924,21.10000038,28.10000038,72.90000153,52.29999924,84.69999695,1.899999976,6.400000095,0
2019-06-30,용산,24.79999924,22.60000038,28.60000038,,,,2.200000048,5.300000191,0
2019-06-30,송파,24.79999924,22.10000038,28.70000076,73.40000153,55.29999924,84.90000153,1.799999952,5.5,0
2019-06-30,강북,25.10000038,22.39999962,29.5,36.5,20.10000038,46.5,1.399999976,5.300000191,0
2019-06-30,노원,25.5,21.5,29.89999962,71.69999695,50.79999924,87.40000153,1.399999976,4.599999905,0
2019-06-30,양천,24.29999924,22.10000038,28.79999924,78.40000153,57.09999847,88,1.700000048,5.400000095,0
2019-06-30,강남,24.29999924,22.29999924,27.79999924,74,55.70000076,83.5,1.299999952,3.5,0
2019-06-30,서초,24.79999924,22.29999924,28.5,72.80000305,55.40000153,82.80000305,2.099999905,4.900000095,0
2019-06-30,구로,23.79999924,21.89999962,26.89999962,79,61.09999847,91,2.799999952,7,0
2019-06-30,마포,24.20000076,20.79999924,28.89999962,80.69999695,58.59999847,94.59999847,1.100000024,5.5,0
2019-06-30,성북,25,22.10000038,29.39999962,71.40000153,50.40000153,83.09999847,1.799999952,5,0
2019-06-30,동대문,24.89999962,21.79999924,28.29999924,71,53.5,81.30000305,1.799999952,6.5,0
2019-06-30,남산,23.89999962,20.79999924,27.89999962,77.19999695,56.40000153,92.30000305,1.200000048,5.599999905,0
2019-06-29,남산,22.70000076,19,27.20000076,75.90000153,49.70000076,97.80000305,1,4.300000191,1.5
2019-06-29,강동,23.79999924,19.60000038,29.10000038,55.40000153,34.5,74,1.100000024,4.300000191,1.5
2019-06-29,동작,23.89999962,19.70000076,27.60000038,66.69999695,46.70000076,85,1.600000024,4.400000095,2
2019-06-29,은평,23,19.20000076,27.89999962,,,,1.200000048,4.199999809,1
2019-06-29,중구,22.70000076,18.79999924,28.29999924,71.19999695,45.59999847,89.09999847,0.899999976,3.700000048,1.5
2019-06-29,용산,24.20000076,20.10000038,29.60000038,,,,1.399999976,3.700000048,1.5
2019-06-29,송파,23.5,19.89999962,27.5,72.40000153,49.29999924,92.30000305,1,3.200000048,1.5
2019-06-29,강북,23.5,19.5,29.10000038,33.90000153,18.20000076,50.70000076,0.600000024,4,0
2019-06-29,광진,23.70000076,19.20000076,28.10000038,71.19999695,52.70000076,88.40000153,1.5,4.300000191,2
2019-06-29,노원,23.60000038,19,28.89999962,71.80000305,47.90000153,94.30000305,0.800000012,3.200000048,1
2019-06-29,양천,23.89999962,20.60000038,27.70000076,74.19999695,53.90000153,90.69999695,1.100000024,3.700000048,1.5
2019-06-29,강남,23.29999924,19,28.89999962,72.30000305,48.20000076,92.80000305,0.699999988,3.099999905,2
2019-06-29,서초,23.70000076,20.60000038,27.60000038,73.40000153,51.29999924,99.90000153,1.5,4.699999809,2
2019-06-29,구로,23.60000038,20.39999962,27.60000038,74.19999695,52,92.19999695,2,5,2.5
2019-06-29,마포,23.60000038,19.70000076,28.70000076,76.59999847,55.29999924,94.40000153,0.699999988,3.900000095,1.5
2019-06-29,성북,23.5,19.20000076,28.60000038,70.19999695,48.70000076,89.30000305,1.100000024,4.199999809,1
2019-06-29,동대문,23.39999962,19.20000076,27.39999962,69.69999695,52.79999924,87.59999847,1.600000024,4.400000095,1
2019-06-28,마포,24.89999962,22.89999962,29.5,74.69999695,56.5,86.5,0.5,4,0
