역번호,날짜,호선,역명,구분,축제명,개최장소,축제시작일자,축제종료일자,합 계
216,2019-01-01,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,48669
216,2019-01-01,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,43094
216,2019-01-02,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,86019
216,2019-01-02,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,83187
216,2019-01-03,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90995
216,2019-01-03,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87754
216,2019-01-04,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,95997
216,2019-01-04,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,92679
216,2019-01-05,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,82867
216,2019-01-05,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,77760
216,2019-01-06,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,59090
216,2019-01-06,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,54767
216,2019-01-07,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85978
216,2019-01-07,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,83582
216,2019-01-08,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90111
216,2019-01-08,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,86789
216,2019-01-09,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,88326
216,2019-01-09,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85198
216,2019-01-10,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,91399
216,2019-01-10,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,88237
216,2019-01-11,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,95327
216,2019-01-11,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,91991
216,2019-01-12,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85348
216,2019-01-12,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,80112
216,2019-01-13,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,61872
216,2019-01-13,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,57400
216,2019-01-14,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,83969
216,2019-01-14,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,81801
216,2019-01-15,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,89707
216,2019-01-15,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,86808
216,2019-01-16,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90230
216,2019-01-16,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87129
216,2019-01-17,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,91708
216,2019-01-17,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,88720
216,2019-01-18,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,97595
216,2019-01-18,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,93238
216,2019-01-19,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85377
216,2019-01-19,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,79903
216,2019-01-20,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,61694
216,2019-01-20,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,56877
216,2019-01-21,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87169
216,2019-01-21,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,84202
216,2019-01-22,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90700
216,2019-01-22,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87772
216,2019-01-23,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,93309
216,2019-01-23,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90153
216,2019-01-24,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,94362
216,2019-01-24,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90738
216,2019-01-25,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,97499
216,2019-01-25,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,93190
216,2019-01-26,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85951
216,2019-01-26,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,80798
216,2019-01-27,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,62467
216,2019-01-27,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,57304
216,2019-01-28,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87064
216,2019-01-28,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,84617
216,2019-01-29,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,91156
216,2019-01-29,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87802
216,2019-01-30,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90275
216,2019-01-30,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87699
216,2019-01-31,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,89542
216,2019-01-31,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85855
216,2019-02-01,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,88847
216,2019-02-01,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85134
216,2019-02-02,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,65856
216,2019-02-02,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,61736
216,2019-02-03,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,48766
216,2019-02-03,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,45238
216,2019-02-04,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,43501
216,2019-02-04,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,40284
216,2019-02-05,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,38401
216,2019-02-05,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,36148
216,2019-02-06,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,54679
216,2019-02-06,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,51169
216,2019-02-07,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87687
216,2019-02-07,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,84774
216,2019-02-08,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,94956
216,2019-02-08,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,91306
216,2019-02-09,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87123
216,2019-02-09,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,82165
216,2019-02-10,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,62598
216,2019-02-10,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,57888
216,2019-02-11,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90101
216,2019-02-11,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87058
216,2019-02-12,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,95379
216,2019-02-12,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,91441
216,2019-02-13,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,96238
216,2019-02-13,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,92507
216,2019-02-14,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,96440
216,2019-02-14,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,92700
216,2019-02-15,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,98962
216,2019-02-15,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,94485
216,2019-02-16,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,93099
216,2019-02-16,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87884
216,2019-02-17,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,70040
216,2019-02-17,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,64310
216,2019-02-18,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,93386
216,2019-02-18,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90051
216,2019-02-19,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90541
216,2019-02-19,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,88187
216,2019-02-20,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,97219
216,2019-02-20,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,93482
216,2019-02-21,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,98335
216,2019-02-21,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,94261
216,2019-02-22,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,101116
216,2019-02-22,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,96940
216,2019-02-23,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,95306
216,2019-02-23,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,88891
216,2019-02-24,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,71979
216,2019-02-24,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,66863
216,2019-02-25,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,94299
216,2019-02-25,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,91246
216,2019-02-26,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,101616
216,2019-02-26,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,98167
216,2019-02-27,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,100755
216,2019-02-27,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,96770
216,2019-02-28,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,103694
216,2019-02-28,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,98940
216,2019-03-01,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,86621
216,2019-03-01,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,81687
216,2019-03-02,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85875
216,2019-03-02,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,79036
216,2019-03-03,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,59872
216,2019-03-03,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,55623
216,2019-03-04,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,78090
216,2019-03-04,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,75696
216,2019-03-05,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,82617
216,2019-03-05,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,80462
216,2019-03-06,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,84895
216,2019-03-06,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,82818
216,2019-03-07,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,88442
216,2019-03-07,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85911
216,2019-03-08,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,94586
216,2019-03-08,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,91660
216,2019-03-09,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90199
216,2019-03-09,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85854
216,2019-03-10,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,63795
216,2019-03-10,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,59133
216,2019-03-11,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,83678
216,2019-03-11,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,81462
216,2019-03-12,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85141
216,2019-03-12,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,82933
216,2019-03-13,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,86321
216,2019-03-13,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,83556
216,2019-03-14,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,89967
216,2019-03-14,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87681
216,2019-03-15,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,92616
216,2019-03-15,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,89154
216,2019-03-16,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,88984
