날짜,호선,구분,경기,서울,합 계
2019-01-01,1호선,승차,1278.63,1381.11,153785
2019-01-01,1호선,하차,1278.63,1381.11,139548
2019-01-01,2호선,승차,1278.63,1381.11,686073
2019-01-01,2호선,하차,1278.63,1381.11,677271
2019-01-01,3호선,승차,1278.63,1381.11,244253
2019-01-01,3호선,하차,1278.63,1381.11,242213
2019-01-01,4호선,승차,1278.63,1381.11,278431
2019-01-01,4호선,하차,1278.63,1381.11,284902
2019-01-01,5호선,승차,1278.63,1381.11,251687
2019-01-01,5호선,하차,1278.63,1381.11,253814
2019-01-01,6호선,승차,1278.63,1381.11,169139
2019-01-01,6호선,하차,1278.63,1381.11,161675
2019-01-01,7호선,승차,1278.63,1381.11,300697
2019-01-01,7호선,하차,1278.63,1381.11,294504
2019-01-01,8호선,승차,1278.63,1381.11,85809
2019-01-01,8호선,하차,1278.63,1381.11,88549
2019-01-02,1호선,승차,1275.99,1376.81,285182
2019-01-02,1호선,하차,1275.99,1376.81,278398
2019-01-02,2호선,승차,1275.99,1376.81,1625177
2019-01-02,2호선,하차,1275.99,1376.81,1645943
2019-01-02,3호선,승차,1275.99,1376.81,587401
2019-01-02,3호선,하차,1275.99,1376.81,584334
2019-01-02,4호선,승차,1275.99,1376.81,586497
2019-01-02,4호선,하차,1275.99,1376.81,594445
2019-01-02,5호선,승차,1275.99,1376.81,655658
2019-01-02,5호선,하차,1275.99,1376.81,650039
2019-01-02,6호선,승차,1275.99,1376.81,360939
2019-01-02,6호선,하차,1275.99,1376.81,355598
2019-01-02,7호선,승차,1275.99,1376.81,765160
2019-01-02,7호선,하차,1275.99,1376.81,755183
2019-01-02,8호선,승차,1275.99,1376.81,201595
2019-01-02,8호선,하차,1275.99,1376.81,203425
2019-01-03,1호선,승차,1272.7,1372.57,297440
2019-01-03,1호선,하차,1272.7,1372.57,291142
2019-01-03,2호선,승차,1272.7,1372.57,1693450
2019-01-03,2호선,하차,1272.7,1372.57,1714307
2019-01-03,3호선,승차,1272.7,1372.57,611847
2019-01-03,3호선,하차,1272.7,1372.57,608748
2019-01-03,4호선,승차,1272.7,1372.57,610649
2019-01-03,4호선,하차,1272.7,1372.57,617621
2019-01-03,5호선,승차,1272.7,1372.57,675414
2019-01-03,5호선,하차,1272.7,1372.57,668054
2019-01-03,6호선,승차,1272.7,1372.57,376296
2019-01-03,6호선,하차,1272.7,1372.57,371211
2019-01-03,7호선,승차,1272.7,1372.57,783880
2019-01-03,7호선,하차,1272.7,1372.57,773800
2019-01-03,8호선,승차,1272.7,1372.57,206854
2019-01-03,8호선,하차,1272.7,1372.57,207709
2019-01-04,1호선,승차,1269.73,1370.87,318191
2019-01-04,1호선,하차,1269.73,1370.87,311395
2019-01-04,2호선,승차,1269.73,1370.87,1772280
2019-01-04,2호선,하차,1269.73,1370.87,1809030
2019-01-04,3호선,승차,1269.73,1370.87,645688
2019-01-04,3호선,하차,1269.73,1370.87,643095
2019-01-04,4호선,승차,1269.73,1370.87,634403
2019-01-04,4호선,하차,1269.73,1370.87,643793
2019-01-04,5호선,승차,1269.73,1370.87,695419
2019-01-04,5호선,하차,1269.73,1370.87,686226
2019-01-04,6호선,승차,1269.73,1370.87,392264
2019-01-04,6호선,하차,1269.73,1370.87,387325
2019-01-04,7호선,승차,1269.73,1370.87,808029
2019-01-04,7호선,하차,1269.73,1370.87,796050
2019-01-04,8호선,승차,1269.73,1370.87,219293
2019-01-04,8호선,하차,1269.73,1370.87,219452
2019-01-05,1호선,승차,1267.24,1369.1,253469
2019-01-05,1호선,하차,1267.24,1369.1,251582
2019-01-05,2호선,승차,1267.24,1369.1,1268005
2019-01-05,2호선,하차,1267.24,1369.1,1289562
2019-01-05,3호선,승차,1267.24,1369.1,470703
2019-01-05,3호선,하차,1267.24,1369.1,469197
2019-01-05,4호선,승차,1267.24,1369.1,487225
2019-01-05,4호선,하차,1267.24,1369.1,493274
2019-01-05,5호선,승차,1267.24,1369.1,458490
2019-01-05,5호선,하차,1267.24,1369.1,451186
2019-01-05,6호선,승차,1267.24,1369.1,284434
2019-01-05,6호선,하차,1267.24,1369.1,280555
2019-01-05,7호선,승차,1267.24,1369.1,550047
2019-01-05,7호선,하차,1267.24,1369.1,534599
2019-01-05,8호선,승차,1267.24,1369.1,149024
2019-01-05,8호선,하차,1267.24,1369.1,148612
2019-01-06,1호선,승차,1265.67,1368.54,176668
2019-01-06,1호선,하차,1265.67,1368.54,169072
2019-01-06,2호선,승차,1265.67,1368.54,889645
2019-01-06,2호선,하차,1265.67,1368.54,887520
2019-01-06,3호선,승차,1265.67,1368.54,326579
2019-01-06,3호선,하차,1265.67,1368.54,330429
2019-01-06,4호선,승차,1265.67,1368.54,350741
2019-01-06,4호선,하차,1265.67,1368.54,355062
2019-01-06,5호선,승차,1265.67,1368.54,323499
2019-01-06,5호선,하차,1265.67,1368.54,320610
2019-01-06,6호선,승차,1265.67,1368.54,209078
2019-01-06,6호선,하차,1265.67,1368.54,203482
2019-01-06,7호선,승차,1265.67,1368.54,392571
2019-01-06,7호선,하차,1265.67,1368.54,383720
2019-01-06,8호선,승차,1265.67,1368.54,108906
2019-01-06,8호선,하차,1265.67,1368.54,110515
2019-01-07,1호선,승차,1264.08,1366.36,296040
2019-01-07,1호선,하차,1264.08,1366.36,291227
2019-01-07,2호선,승차,1264.08,1366.36,1669449
2019-01-07,2호선,하차,1264.08,1366.36,1689490
2019-01-07,3호선,승차,1264.08,1366.36,604019
2019-01-07,3호선,하차,1264.08,1366.36,604089
2019-01-07,4호선,승차,1264.08,1366.36,595566
2019-01-07,4호선,하차,1264.08,1366.36,600765
2019-01-07,5호선,승차,1264.08,1366.36,670240
2019-01-07,5호선,하차,1264.08,1366.36,664455
2019-01-07,6호선,승차,1264.08,1366.36,369626
2019-01-07,6호선,하차,1264.08,1366.36,361683
2019-01-07,7호선,승차,1264.08,1366.36,787585
2019-01-07,7호선,하차,1264.08,1366.36,776103
2019-01-07,8호선,승차,1264.08,1366.36,206819
2019-01-07,8호선,하차,1264.08,1366.36,207506
2019-01-08,1호선,승차,1261.29,1362.97,301108
2019-01-08,1호선,하차,1261.29,1362.97,295291
2019-01-08,2호선,승차,1261.29,1362.97,1695186
2019-01-08,2호선,하차,1261.29,1362.97,1708874
2019-01-08,3호선,승차,1261.29,1362.97,615630
2019-01-08,3호선,하차,1261.29,1362.97,612827
2019-01-08,4호선,승차,1261.29,1362.97,610393
2019-01-08,4호선,하차,1261.29,1362.97,615184
2019-01-08,5호선,승차,1261.29,1362.97,681124
2019-01-08,5호선,하차,1261.29,1362.97,674331
2019-01-08,6호선,승차,1261.29,1362.97,376679
